t;dT
0x11f287737;0x11802
0x11f2a46e3;0x11b33
0x11f2c1caa;0x11a7a
0x11f2de76d;0x118ec
0x11f2fb3ae;0x1185e
0x11f3181b5;0x11bef
0x11f334c61;0x11a5c
0x11f351902;0x11a1d
0x11f36e49f;0x119d1
0x11f38b12c;0x11b75
0x11f3a7df1;0x11b39
0x11f3c47e2;0x11982
0x11f3e1361;0x118fe
0x11f3fdf6e;0x11819
0x11f41ac5b;0x1185b
0x11f43789e;0x117be
0x11f4546e7;0x119e0
0x11f4713b8;0x119e1
0x11f48e214;0x11b70
0x11f4aaeb4;0x11bf0
0x11f4c7958;0x11994
0x11f4e454d;0x1198d
0x11f501064;0x11814
0x11f51deb8;0x119b6
0x11f53a9dc;0x11834
0x11f557569;0x116fb
0x11f574196;0x11949
0x11f590f19;0x119e9
0x11f5ada28;0x11817
0x11f5ca5f0;0x11758
0x11f5e738b;0x117fc
0x11f604041;0x11842
0x11f621042;0x11b90
0x11f63e807;0x11b9f
0x11f65b282;0x11afc
0x11f677c80;0x11a0b
0x11f6942ff;0x117ca
0x11f6b0f6a;0x11acf
0x11f6cdd08;0x11b9c
0x11f6eaad8;0x11cfe
0x11f7076a6;0x11bda
0x11f724ab8;0x11961
0x11f7417bd;0x119d8
0x11f75e497;0x119c2
0x11f77b15c;0x11b68
0x11f797ef4;0x11c0d
0x11f7b477c;0x11761
0x11f7d14fa;0x11bcb
0x11f7ee1bd;0x11bf7
0x11f80adf2;0x11b15
0x11f827860;0x118e2
0x11f8443f9;0x11972
0x11f861264;0x11b5f
0x11f87dcaf;0x11a4c
0x11f89a883;0x119ac
0x11f8b752f;0x119b2
0x11f8d4118;0x118f3
0x11f8f0d1a;0x1181e
0x11f90d9e2;0x11842
0x11f92a90b;0x11aa6
0x11f9474b9;0x119af
0x11f964262;0x11baf
0x11f980b8e;0x119ce
0x11f99d908;0x11479
0x11f9ba2ce;0x11716
0x11f9d704b;0x117de
0x11f9f41f8;0x11d30
0x11fa1173d;0x125a2
0x11fa2d846;0x119dd
0x11fa4a524;0x119e9
0x11fa67335;0x11af7
0x11fa83f7b;0x11ace
0x11faa0c6a;0x11af5
0x11fabd89e;0x11a1d
0x11fada50b;0x11a3f
0x11faf6f75;0x118dc
0x11fb13c2d;0x118dd
0x11fb3096e;0x11b58
0x11fb4d6d1;0x11bed
0x11fb6a108;0x11938
0x11fb87495;0x1194f
0x11fba41ad;0x11c08
0x11fbc0e1b;0x11be5
0x11fbddac0;0x11b9b
0x11fbfa5b1;0x119d1
0x11fc1719e;0x11980
0x11fc33e5a;0x11998
0x11fc50a6f;0x118ed
0x11fc6d721;0x118de
0x11fc8a422;0x1191a
0x11fca7101;0x119de
0x11fcc3dcd;0x119d7
0x11fce0a91;0x119ce
0x11fcfd85b;0x11b59
0x11fd1a377;0x11a94
0x11fd36ee0;0x11997
0x11fd53a19;0x11823
0x11fd706d2;0x1182e
0x11fd8d40d;0x118ac
0x11fdaa2d7;0x11bdc
0x11fdc6abd;0x118c0
0x11fde369d;0x1180f
0x11fe00614;0x11afe
0x11fe1dd25;0x11afe
0x11fe3a5fe;0x1187b
0x11fe57132;0x11736
0x11fe73f28;0x118b8
0x11fe9081d;0x11742
0x11fead62d;0x11980
0x11feca27f;0x119ec
0x11fee70e0;0x11b65
0x11ff03974;0x11a59
0x11ff1ffd1;0x11708
0x11ff3d2fb;0x116ad
0x11ff59792;0x11691
0x11ff76dd1;0x116d5
0x11ff935ec;0x1198a
0x11ffb02a7;0x119c2
0x11ffccf73;0x119cc
0x11ffe9ac8;0x11843
0x12000691a;0x119f8
0x1200232fb;0x1171d
0x12004039b;0x11a3b
0x12005d24d;0x11b14
0x12007a119;0x11d29
0x120096f0d;0x11b76
0x1200b3435;0x11869
0x1200d0118;0x1160f
0x1200ecabf;0x11982
0x12010a0f4;0x117c8
0x120126da9;0x11818
0x1201436c5;0x11653
0x12016060f;0x1172d
0x12017c777;0x1168d
0x120199e65;0x115fb
0x1201b6548;0x11977
0x1201d2ed6;0x11701
0x1201f09fb;0x11b9b
0x12020d6b4;0x11bf5
0x12022a292;0x11ae4
0x120246c4b;0x11818
0x12026390e;0x118bc
0x120280508;0x1181c
0x12029d35b;0x119c3
0x1202b9fbc;0x11977
0x1202d6c73;0x119af
0x1202f2eb1;0x11b5f
0x12030fcd4;0x11c88
0x12032cdb8;0x1160a
0x120349d89;0x11b5d
0x120366a7e;0x11bd8
0x120383731;0x11c04
0x12039fd03;0x115b9
0x1203bcc70;0x11b45
0x1203d959a;0x11a4b
0x1203f5e1a;0x1183b
0x1204132d6;0x11865
0x12042f4b3;0x11702
0x12044c533;0x11780
0x12046945f;0x1171d
0x120485e96;0x1153a
0x1204a2ed9;0x11651
0x1204c01fb;0x11aa6
0x1204dcbbb;0x119f5
0x1204f9294;0x116f2
0x12051659b;0x11b85
0x1205329bc;0x117e8
0x12054ffe2;0x119fd
0x12056cbcb;0x11974
0x12058979c;0x118a2
0x1205a63ab;0x11808
0x1205c3123;0x119af
0x1205dff75;0x11b60
0x1205fcc76;0x11ba2
0x1206198d4;0x11b40
0x12063618b;0x11886
0x120652cc3;0x1173d
0x12066fb21;0x1189b
0x12068caaa;0x11b9e
0x1206aa12f;0x1256d
0x1206c6206;0x119a8
0x1206e2fb6;0x11a8c
0x1206ffcf6;0x11b90
0x12071c954;0x11b11
0x1207390cd;0x11774
0x120755e7d;0x1191f
0x120772c20;0x11aa3
0x12078fb10;0x11cd5
0x1207ac555;0x11ae1
0x1207c8fc9;0x1197d
0x1207e5d7d;0x11b2b
0x12080293a;0x11b8e
0x12081f524;0x11b34
0x12083c134;0x11a82
0x120858bd5;0x11878
0x120875868;0x11986
0x1208924f5;0x1199e
0x1208af2e9;0x11b09
0x1208cc045;0x11bc5
0x1208e8c75;0x11b92
0x12090554f;0x118d3
0x120922156;0x1182f
0x12093f270;0x1149d
0x12095b653;0x115fa
0x1209783fb;0x116a7
0x120995516;0x11850
0x1209b1ee1;0x118ea
0x1209ceb92;0x118d7
0x1209ec520;0x11b5f
0x120a091d1;0x11aed
0x120a25f60;0x11bd7
0x120a42bab;0x11b0a
0x120a5f432;0x1176d
0x120a7c058;0x11823
0x120a98d2c;0x1182f
